@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1,'2023/12/21 00:58:33:370',1,27,97.999992,4.32,72.999992,64,96,94,1,1
2,'2023/12/21 00:58:33:412',1,27,97.999992,4.32,72.999992,64,96,94,1,1
3,'2023/12/21 00:58:33:422',1,27,97.999992,4.32,72.999992,64,96,94,1,1
4,'2023/12/21 00:58:33:438',1,27,97.999992,4.32,72.999992,64,96,94,1,1
5,'2023/12/21 00:58:33:457',1,27,97.999992,4.32,72.999992,64,96,94,1,1
6,'2023/12/21 00:58:33:476',1,27,97.999992,4.32,72.999992,64,96,94,1,1
7,'2023/12/21 00:58:33:495',1,27,97.999992,4.32,72.999992,64,96,94,1,1
8,'2023/12/21 00:58:33:515',1,27,97.999992,4.32,72.999992,64,96,94,1,1
9,'2023/12/21 00:58:33:531',1,27,97.999992,4.32,72.999992,64,96,94,1,1
10,'2023/12/21 00:58:33:551',1,27,97.999992,4.32,72.999992,64,96,94,1,1
11,'2023/12/21 00:58:33:567',1,27,97.999992,4.32,72.999992,64,96,94,1,1
12,'2023/12/21 00:58:33:589',1,27,97.999992,4.32,72.999992,64,96,94,1,1
13,'2023/12/21 00:58:33:613',1,27,97.999992,4.32,72.999992,64,96,94,1,1
14,'2023/12/21 00:58:33:635',1,27,97.999992,4.32,72.999992,64,96,94,1,1
15,'2023/12/21 00:58:33:659',1,27,97.999992,4.32,72.999992,64,96,94,1,1
16,'2023/12/21 00:58:33:679',1,27,97.999992,4.32,72.999992,64,96,94,1,1
17,'2023/12/21 00:58:33:709',1,27,97.999992,4.32,72.999992,64,96,94,1,1
18,'2023/12/21 00:58:33:724',1,27,97.999992,4.32,72.999992,64,96,94,1,1
19,'2023/12/21 00:58:33:744',1,27,97.999992,4.32,72.999992,64,96,94,1,1
20,'2023/12/21 00:58:33:767',1,27,97.999992,4.32,72.999992,64,96,94,1,1
21,'2023/12/21 00:58:33:791',1,27,97.999992,4.32,72.999992,64,96,94,1,1
22,'2023/12/21 00:58:33:809',1,27,97.999992,4.32,72.999992,64,96,94,1,1
23,'2023/12/21 00:58:33:829',1,27,97.999992,4.32,72.999992,64,96,94,1,1
24,'2023/12/21 00:58:33:846',1,27,97.999992,4.32,72.999992,64,96,94,1,1
25,'2023/12/21 00:58:33:863',1,27,97.999992,4.32,72.999992,64,96,94,1,1
26,'2023/12/21 00:58:33:882',1,27,97.999992,4.32,72.999992,64,96,94,1,1
27,'2023/12/21 00:58:33:900',1,27,97.999992,4.32,72.999992,64,96,94,1,1
28,'2023/12/21 00:58:33:920',1,27,97.999992,4.32,72.999992,64,96,94,1,1
29,'2023/12/21 00:58:33:937',1,27,97.999992,4.32,72.999992,64,96,94,1,1
30,'2023/12/21 00:58:33:958',1,27,97.999992,4.32,72.999992,64,96,94,1,1
31,'2023/12/21 00:58:33:975',1,27,97.999992,4.32,72.999992,64,96,94,1,1
32,'2023/12/21 00:58:33:990',1,27,97.999992,4.32,72.999992,64,96,94,1,1
33,'2023/12/21 00:58:34:009',1,27,97.999992,4.32,72.999992,64,96,94,1,1
34,'2023/12/21 00:58:34:029',1,27,97.999992,4.32,72.999992,64,96,94,1,1
35,'2023/12/21 00:58:34:047',1,27,97.999992,4.32,72.999992,64,96,94,1,1
36,'2023/12/21 00:58:34:066',1,27,97.999992,4.32,72.999992,64,96,94,1,1
37,'2023/12/21 00:58:34:084',1,27,97.999992,4.32,72.999992,64,96,94,1,1
38,'2023/12/21 00:58:34:104',1,27,97.999992,4.32,72.999992,64,96,94,1,1
39,'2023/12/21 00:58:34:125',1,27,97.999992,4.32,72.999992,64,96,94,1,1
40,'2023/12/21 00:58:34:150',1,27,97.999992,4.32,72.999992,64,96,94,1,1
41,'2023/12/21 00:58:34:172',1,27,97.999992,4.32,72.999992,64,96,94,1,1
42,'2023/12/21 00:58:34:195',1,27,97.999992,4.32,72.999992,64,96,94,1,1
43,'2023/12/21 00:58:34:221',1,27,97.999992,4.32,72.999992,64,96,94,1,1
44,'2023/12/21 00:59:11:577',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
45,'2023/12/21 00:59:11:606',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
46,'2023/12/21 00:59:11:629',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
47,'2023/12/21 00:59:11:650',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
48,'2023/12/21 00:59:11:670',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
49,'2023/12/21 00:59:11:695',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
50,'2023/12/21 00:59:11:716',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
51,'2023/12/21 00:59:11:734',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
52,'2023/12/21 00:59:11:752',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
53,'2023/12/21 00:59:11:773',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
54,'2023/12/21 00:59:11:792',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
55,'2023/12/21 00:59:11:807',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
56,'2023/12/21 00:59:11:825',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
57,'2023/12/21 00:59:11:842',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
58,'2023/12/21 00:59:11:861',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
59,'2023/12/21 00:59:11:877',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
60,'2023/12/21 00:59:11:897',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
61,'2023/12/21 00:59:11:914',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
62,'2023/12/21 00:59:11:930',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
63,'2023/12/21 00:59:11:946',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
64,'2023/12/21 00:59:11:966',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
65,'2023/12/21 00:59:11:986',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
66,'2023/12/21 00:59:12:004',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
67,'2023/12/21 00:59:12:024',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
68,'2023/12/21 00:59:12:040',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
69,'2023/12/21 00:59:12:055',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
70,'2023/12/21 00:59:12:071',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
71,'2023/12/21 00:59:12:091',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
72,'2023/12/21 00:59:12:109',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
73,'2023/12/21 00:59:12:126',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
74,'2023/12/21 00:59:12:143',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
75,'2023/12/21 00:59:12:161',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
76,'2023/12/21 00:59:12:175',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
77,'2023/12/21 00:59:12:194',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
78,'2023/12/21 00:59:12:210',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
79,'2023/12/21 00:59:12:232',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
80,'2023/12/21 00:59:12:249',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
81,'2023/12/21 00:59:12:270',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
82,'2023/12/21 00:59:12:285',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
83,'2023/12/21 00:59:12:306',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
84,'2023/12/21 00:59:12:322',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
85,'2023/12/21 00:59:12:341',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
86,'2023/12/21 00:59:12:360',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
87,'2023/12/21 00:59:12:377',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
88,'2023/12/21 00:59:12:398',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
89,'2023/12/21 00:59:12:415',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
90,'2023/12/21 00:59:12:430',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
91,'2023/12/21 00:59:12:449',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
92,'2023/12/21 00:59:12:469',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
93,'2023/12/21 00:59:12:489',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
94,'2023/12/21 00:59:12:507',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
95,'2023/12/21 00:59:12:529',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
96,'2023/12/21 00:59:12:547',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
97,'2023/12/21 00:59:12:564',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
98,'2023/12/21 00:59:12:582',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
99,'2023/12/21 00:59:12:603',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
100,'2023/12/21 00:59:12:623',2,38,45,3.015,33,58,75,29.999998,0.526411,0.169875
101,'2023/12/21 00:59:32:616',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
102,'2023/12/21 00:59:32:653',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
103,'2023/12/21 00:59:32:672',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
104,'2023/12/21 00:59:32:694',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
105,'2023/12/21 00:59:32:718',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
106,'2023/12/21 00:59:32:741',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
107,'2023/12/21 00:59:32:759',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
108,'2023/12/21 00:59:32:779',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
109,'2023/12/21 00:59:32:800',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
110,'2023/12/21 00:59:32:816',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
111,'2023/12/21 00:59:32:836',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
112,'2023/12/21 00:59:32:854',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
113,'2023/12/21 00:59:32:871',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
114,'2023/12/21 00:59:32:894',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
115,'2023/12/21 00:59:32:913',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
116,'2023/12/21 00:59:32:937',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
117,'2023/12/21 00:59:32:959',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
118,'2023/12/21 00:59:32:976',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
119,'2023/12/21 00:59:32:999',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
120,'2023/12/21 00:59:33:020',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
121,'2023/12/21 00:59:33:039',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
122,'2023/12/21 00:59:33:059',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
123,'2023/12/21 00:59:33:076',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
124,'2023/12/21 00:59:33:098',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
125,'2023/12/21 00:59:33:112',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
126,'2023/12/21 00:59:33:133',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
127,'2023/12/21 00:59:33:152',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
128,'2023/12/21 00:59:33:170',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
129,'2023/12/21 00:59:33:194',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
130,'2023/12/21 00:59:33:211',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
131,'2023/12/21 00:59:33:236',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
132,'2023/12/21 00:59:33:255',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
133,'2023/12/21 00:59:33:273',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
134,'2023/12/21 00:59:33:295',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
135,'2023/12/21 00:59:33:312',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
136,'2023/12/21 00:59:33:336',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
137,'2023/12/21 00:59:33:354',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
138,'2023/12/21 00:59:33:373',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
139,'2023/12/21 00:59:33:392',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
140,'2023/12/21 00:59:33:408',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
141,'2023/12/21 00:59:33:428',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
142,'2023/12/21 00:59:33:450',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
143,'2023/12/21 00:59:33:468',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
144,'2023/12/21 00:59:33:492',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
145,'2023/12/21 00:59:33:510',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
146,'2023/12/21 00:59:33:524',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
147,'2023/12/21 00:59:33:546',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
148,'2023/12/21 00:59:33:571',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
149,'2023/12/21 00:59:33:593',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
150,'2023/12/21 00:59:33:611',3,19,21,2.205,26,16,19,29.999998,0.16225,0.13091
