@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2023/11/28 01:46:29:671',1,-0.001006,0.004525,-0.012275,?
2,'2023/11/28 01:46:29:705',1,0.005216,0.007693,-0.017352,?
3,'2023/11/28 01:46:29:738',1,-0.013084,-0.003479,0.013321,?
4,'2023/11/28 01:46:29:771',1,-0.006692,-0.008332,0.007728,?
5,'2023/11/28 01:46:29:806',1,-0.002563,-0.002586,-0.002836,?
6,'2023/11/28 01:46:29:837',1,0.001115,-0.007244,0.01107,?
7,'2023/11/28 01:46:29:872',1,-0.008981,-0.006797,0.005031,?
8,'2023/11/28 01:46:29:910',1,-0.000127,-0.012245,0.006752,?
9,'2023/11/28 01:46:29:937',1,0.000965,-0.007663,-0.010202,?
10,'2023/11/28 01:46:29:976',1,0.004294,0.004575,-0.014835,?
11,'2023/11/28 01:46:30:014',1,-0.001301,0.007371,-0.002212,?
12,'2023/11/28 01:46:30:038',1,0.001185,0.001825,0.006933,?
13,'2023/11/28 01:46:30:074',1,-0.00377,0.003045,0.005448,?
14,'2023/11/28 01:46:30:104',1,0.001248,0.003857,0.004331,?
15,'2023/11/28 01:46:30:137',1,-0.003882,-0.011448,0.014909,?
16,'2023/11/28 01:46:34:237',2,-0.006819,-0.000352,0.007511,?
17,'2023/11/28 01:46:34:272',2,0.005543,0.010821,-0.002191,?
18,'2023/11/28 01:46:34:304',2,0.013659,0.016781,-0.015868,?
19,'2023/11/28 01:46:34:337',2,0.001008,0.015971,-0.017118,?
20,'2023/11/28 01:46:34:376',2,-0.006251,0.002013,-0.006712,?
21,'2023/11/28 01:46:34:404',2,-0.00189,-0.007984,-0.005857,?
22,'2023/11/28 01:46:34:437',2,-0.010906,-0.01551,-0.002185,?
23,'2023/11/28 01:46:34:478',2,0.001767,-0.025133,0.002884,?
24,'2023/11/28 01:46:34:516',2,0.012882,-0.007393,-0.007585,?
25,'2023/11/28 01:46:34:537',2,0.002363,-0.003726,-0.000871,?
26,'2023/11/28 01:46:34:570',2,-0.00508,-0.000391,0.000845,?
27,'2023/11/28 01:46:34:605',2,-0.01077,-0.008617,0.00095,?
28,'2023/11/28 01:46:34:637',2,-0.005554,-0.006649,-0.008283,?
29,'2023/11/28 01:46:34:670',2,0.006061,0.002264,-0.017714,?
30,'2023/11/28 01:46:34:704',2,-0.003307,-0.005485,-0.000371,?
31,'2023/11/28 01:46:34:738',2,-0.010936,-0.012414,0.008093,?
32,'2023/11/28 01:46:34:774',2,0.008112,-0.010395,-0.00186,?
33,'2023/11/28 01:46:34:803',2,0.002613,-0.000992,0.005128,?
34,'2023/11/28 01:46:34:838',2,0.012461,0.002183,-0.007467,?
35,'2023/11/28 01:46:34:877',2,0.005457,0.006313,-0.005284,?
36,'2023/11/28 01:46:34:926',2,0.014824,0.01064,-0.003447,?
37,'2023/11/28 01:46:36:544',3,-0.003469,0.015385,0.013165,?
38,'2023/11/28 01:46:36:571',3,0.009849,0.023088,0.000999,?
39,'2023/11/28 01:46:36:613',3,-0.010597,0.021596,0.016181,?
40,'2023/11/28 01:46:36:637',3,0.005215,0.013818,0.012163,?
41,'2023/11/28 01:46:36:671',3,0.007904,0.008738,0.013446,?
42,'2023/11/28 01:46:36:704',3,0.000207,0.001844,0.019832,?
43,'2023/11/28 01:46:36:737',3,0.002143,0.004061,0.009998,?
44,'2023/11/28 01:46:36:771',3,0.003749,-0.001597,0.003264,?
45,'2023/11/28 01:46:36:805',3,-0.003352,-0.003778,-0.001127,?
46,'2023/11/28 01:46:36:839',3,0.006147,-0.0021,-0.007662,?
