@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
6937,'2023/12/04 22:38:08:000',58,12,-480,246,-312,-11382190,0.93,0.96
6938,'2023/12/04 22:38:08:018',58,12,-480,246,-312,-11382190,0.93,0.96
6939,'2023/12/04 22:38:08:034',58,12,-480,246,-312,-11382190,0.93,0.96
6940,'2023/12/04 22:38:08:050',58,12,-480,246,-312,-11382190,0.93,0.96
6941,'2023/12/04 22:38:08:068',58,12,-480,246,-312,-11382190,0.93,0.96
6942,'2023/12/04 22:38:08:083',58,12,-480,246,-312,-11382190,0.93,0.96
6943,'2023/12/04 22:38:08:099',58,12,-480,246,-312,-11382190,0.93,0.96
6944,'2023/12/04 22:38:08:117',58,12,-480,246,-312,-11382190,0.93,0.96
6945,'2023/12/04 22:38:08:134',58,12,-480,246,-312,-11382190,0.93,0.96
6946,'2023/12/04 22:38:08:151',58,12,-480,246,-312,-11382190,0.93,0.96
6947,'2023/12/04 22:38:09:215',59,0,0,0,0,-16777216,0.93,0.96
6948,'2023/12/04 22:38:09:233',59,0,0,0,0,-16777216,0.93,0.96
6949,'2023/12/04 22:38:09:249',59,0,0,0,0,-16777216,0.93,0.96
6950,'2023/12/04 22:38:09:268',59,0,0,0,0,-16777216,0.93,0.96
6951,'2023/12/04 22:38:09:283',59,0,0,0,0,-16777216,0.93,0.96
6952,'2023/12/04 22:38:09:300',59,0,0,0,0,-16777216,0.93,0.96
6953,'2023/12/04 22:38:09:318',59,0,0,0,0,-16777216,0.93,0.96
6954,'2023/12/04 22:38:09:335',59,0,0,0,0,-16777216,0.93,0.96
6955,'2023/12/04 22:38:09:351',59,0,0,0,0,-16777216,0.93,0.96
6956,'2023/12/04 22:38:09:366',59,0,0,0,0,-16777216,0.93,0.96
6957,'2023/12/04 22:38:09:383',59,0,0,0,0,-16777216,0.93,0.96
6958,'2023/12/04 22:38:09:400',59,0,0,0,0,-16777216,0.93,0.96
6959,'2023/12/04 22:38:09:416',59,0,0,0,0,-16777216,0.93,0.96
6960,'2023/12/04 22:38:09:434',59,0,0,0,0,-16777216,0.93,0.96
6961,'2023/12/04 22:38:09:451',59,0,0,0,0,-16777216,0.93,0.96
6962,'2023/12/04 22:38:09:470',59,0,0,0,0,-16777216,0.93,0.96
6963,'2023/12/04 22:38:09:483',59,0,0,0,0,-16777216,0.93,0.96
6964,'2023/12/04 22:38:09:499',59,0,0,0,0,-16777216,0.93,0.96
6965,'2023/12/04 22:38:09:517',59,0,0,0,0,-16777216,0.93,0.96
6966,'2023/12/04 22:38:09:533',59,0,0,0,0,-16777216,0.93,0.96
6967,'2023/12/04 22:38:09:552',59,0,0,0,0,-16777216,0.93,0.96
6968,'2023/12/04 22:38:09:567',59,0,0,0,0,-16777216,0.93,0.96
6969,'2023/12/04 22:38:09:587',59,0,0,0,0,-16777216,0.93,0.96
6970,'2023/12/04 22:38:09:598',59,0,0,0,0,-16777216,0.93,0.96
6971,'2023/12/04 22:38:09:616',59,0,0,0,0,-16777216,0.93,0.96
6972,'2023/12/04 22:38:09:633',59,0,0,0,0,-16777216,0.93,0.96
6973,'2023/12/04 22:38:09:650',59,0,0,0,0,-16777216,0.93,0.96
6974,'2023/12/04 22:38:09:668',59,0,0,0,0,-16777216,0.93,0.96
6975,'2023/12/04 22:38:09:684',59,0,0,0,0,-16777216,0.93,0.96
6976,'2023/12/04 22:38:09:701',59,0,0,0,0,-16777216,0.93,0.96
6977,'2023/12/04 22:38:09:718',59,0,0,0,0,-16777216,0.93,0.96
6978,'2023/12/04 22:38:09:733',59,0,0,0,0,-16777216,0.93,0.96
6979,'2023/12/04 22:38:09:749',59,0,0,0,0,-16777216,0.93,0.96
6980,'2023/12/04 22:38:09:766',59,0,0,0,0,-16777216,0.93,0.96
6981,'2023/12/04 22:38:09:785',59,0,0,0,0,-16777216,0.93,0.96
6982,'2023/12/04 22:38:09:802',59,0,0,0,0,-16777216,0.93,0.96
6983,'2023/12/04 22:38:09:819',59,0,0,0,0,-16777216,0.93,0.96
6984,'2023/12/04 22:38:09:834',59,0,0,0,0,-16777216,0.93,0.96
6985,'2023/12/04 22:38:09:852',59,0,0,0,0,-16777216,0.93,0.96
6986,'2023/12/04 22:38:09:866',59,0,0,0,0,-16777216,0.93,0.96
6987,'2023/12/04 22:38:09:887',59,0,0,0,0,-16777216,0.93,0.96
6988,'2023/12/04 22:38:09:901',59,0,0,0,0,-16777216,0.93,0.96
6989,'2023/12/04 22:38:09:917',59,-99,0,0,0,-16777216,0.93,0.96
6990,'2023/12/04 22:38:09:934',59,-99,0,0,0,-16777216,0.93,0.96
6991,'2023/12/04 22:38:09:951',59,-99,0,0,0,-16777216,0.93,0.96
6992,'2023/12/04 22:38:10:817',60,0,0,0,0,-16777216,0.93,0.96
6993,'2023/12/04 22:38:10:833',60,0,0,0,0,-16777216,0.93,0.96
6994,'2023/12/04 22:38:10:853',60,0,0,0,0,-16777216,0.93,0.96
6995,'2023/12/04 22:38:10:868',60,0,0,0,0,-16777216,0.93,0.96
6996,'2023/12/04 22:38:10:887',60,0,0,0,0,-16777216,0.93,0.96
6997,'2023/12/04 22:38:10:902',60,0,0,0,0,-16777216,0.93,0.96
6998,'2023/12/04 22:38:10:916',60,0,0,0,0,-16777216,0.93,0.96
6999,'2023/12/04 22:38:10:933',60,0,0,0,0,-16777216,0.93,0.96
7000,'2023/12/04 22:38:10:950',60,0,0,0,0,-16777216,0.93,0.96
7001,'2023/12/04 22:38:10:966',60,0,0,0,0,-16777216,0.93,0.96
